customer_id,recency_days,frequency,monetary,avg_ticket,total_items,cluster
12346.0,326,1,77183.6,77183.6,74215,1
12347.0,3,7,4310.0,23.681318681318682,2458,0
12348.0,76,4,1797.24,57.97548387096774,2341,1
12349.0,19,1,1757.55,24.076027397260273,631,2
12350.0,311,1,334.4,19.670588235294115,197,3
12352.0,37,8,2506.04,29.482823529411764,536,2
12353.0,205,1,89.0,22.25,20,3
12354.0,233,1,1079.4,18.610344827586207,530,3
12355.0,215,1,459.4,35.33846153846154,240,3
12356.0,23,3,2811.43,47.65135593220339,1591,2
12357.0,34,1,6207.67,47.38679389312977,2708,1
12358.0,2,2,1168.06,61.47684210526315,248,2
12359.0,58,4,6372.58,25.695887096774193,1622,2
12360.0,53,3,2662.06,20.63612403100775,1165,2
12361.0,288,1,189.9,18.990000000000002,91,3
12362.0,4,10,5226.23,19.647481203007516,2229,0
12363.0,110,2,552.0,24.0,408,3
12364.0,8,4,1313.1,15.448235294117646,1506,2
12365.0,292,2,641.38,29.153636363636362,174,3
12367.0,5,1,168.9,15.354545454545455,173,3
12370.0,52,4,3545.69,21.231676646706585,2353,2
12371.0,45,2,1887.96,29.96761904761905,591,2
12372.0,72,3,1298.04,24.962307692307693,794,2
12373.0,312,1,364.6,26.042857142857144,197,3
12374.0,26,1,742.9300000000001,22.513030303030305,342,2
12375.0,11,2,457.5,26.91176470588235,178,2
12377.0,316,2,1628.12,21.144415584415583,944,2
12378.0,130,1,4008.62,18.30420091324201,2529,2
12379.0,82,2,852.24,21.306,407,2
12380.0,22,4,2724.81,26.200096153846154,1127,2
12381.0,5,5,1845.31,21.21045977011494,808,2
12383.0,185,5,1850.56,18.69252525252525,1532,2
12384.0,29,2,585.27,21.676666666666666,126,2
12386.0,338,2,401.9,40.19,354,3
12388.0,16,6,2780.66,27.8066,1462,0
12390.0,80,1,549.84,17.1825,353,3
12391.0,22,1,460.89,4.6089,300,2
12393.0,73,4,1582.6000000000001,24.728125000000002,816,2
12394.0,64,2,1272.48,47.12888888888889,819,1
12395.0,20,12,3018.63,19.350192307692307,2118,0
12397.0,36,2,2409.9,19.126190476190477,1263,2
12398.0,46,1,1635.6599999999999,19.24305882352941,1394,2
12399.0,120,4,1108.65,18.790677966101697,1178,2
12401.0,304,1,84.3,16.86,11,3
12402.0,324,1,225.6,20.509090909090908,94,3
12403.0,50,1,427.7,85.53999999999999,96,1
12405.0,149,1,1710.39,31.67388888888889,857,1
12406.0,23,2,3415.3,32.52666666666667,1818,2
12407.0,50,5,1708.1200000000001,22.183376623376624,1416,2
12408.0,33,5,2888.55,27.51,1409,2
12409.0,79,3,11072.67,101.58412844036697,5551,1
12410.0,309,2,693.3299999999999,26.666538461538458,211,3
12412.0,75,3,1226.88,20.112786885245903,829,2
12413.0,67,3,758.1,19.95,286,2
12414.0,218,3,562.41,31.244999999999997,300,3
12415.0,25,21,124914.53,174.95032212885152,77374,0
12417.0,4,9,3649.1,19.005729166666665,1552,0
12418.0,113,1,668.58,19.664117647058823,407,3
12420.0,64,1,600.39,20.70310344827586,345,3
12421.0,16,4,807.04,17.93422222222222,484,2
12422.0,96,3,803.5600000000001,20.604102564102565,370,2
12423.0,1,8,1859.31,14.87448,1339,0
12424.0,163,2,1760.96,58.69866666666667,740,1
12425.0,79,1,777.2,21.58888888888889,496,2
12426.0,195,1,582.73,19.424333333333333,258,3
12427.0,22,3,825.8,26.638709677419353,533,2
12428.0,26,9,7956.46,27.062789115646257,3536,0
12429.0,10,4,3750.4,38.66391752577319,1557,0
12430.0,44,1,256.4,23.30909090909091,117,3
12431.0,36,15,6487.45,27.606170212765957,2906,0
12432.0,43,5,5059.32,46.845555555555556,1801,0
12433.0,1,7,13375.87,31.847309523809525,11071,0
12434.0,85,2,806.14,16.122799999999998,394,2
12435.0,80,2,7829.89,217.49694444444447,2055,1
12436.0,100,1,509.01,31.813125,211,3
12437.0,2,18,4951.41,24.88145728643216,2922,0
12438.0,15,2,2906.85,29.66173469387755,1180,2
12441.0,367,1,173.55,15.77727272727273,121,3
12442.0,4,1,172.06,14.338333333333333,182,3
12444.0,22,5,5005.46,28.440113636363638,1153,0
12445.0,23,1,133.4,33.35,62,3
12446.0,58,1,1002.3100000000001,17.584385964912283,351,2
12447.0,244,1,476.49,18.326538461538462,190,3
12448.0,45,1,449.45,20.429545454545455,243,3
12449.0,23,4,4067.29,21.294712041884818,1553,2
12450.0,157,2,197.88,24.735,128,3
12451.0,11,5,9035.52,25.524067796610172,6575,0
12452.0,17,2,430.57,19.571363636363635,185,2
12453.0,135,1,707.09,16.443953488372095,473,3
12454.0,57,1,3528.34,235.22266666666667,1006,1
12455.0,74,6,2466.86,27.409555555555556,2089,2
12456.0,45,3,3181.04,25.44832,1633,2
12457.0,67,7,2363.23,38.11661290322581,843,2
12458.0,72,2,947.4,24.931578947368422,506,2
12461.0,95,2,826.88,23.62514285714286,287,2
12462.0,19,2,1189.59,19.186935483870965,536,2
12463.0,54,4,1344.78,16.202168674698793,776,2
12464.0,11,8,1212.05,41.79482758620689,112,2
12465.0,18,2,742.1899999999999,15.79127659574468,479,2
12468.0,188,2,729.5400000000001,19.19842105263158,366,3
12471.0,3,30,19824.05,43.09576086956522,8212,0
12472.0,33,7,6572.11,19.386755162241887,4148,0
12473.0,30,5,3938.5499999999997,23.443749999999998,2439,0
12474.0,18,18,7375.79,17.395731132075472,4847,0
12475.0,54,1,723.38,20.093888888888888,535,2
12476.0,16,11,6816.42,29.255021459227468,2408,0
12477.0,23,6,13219.74,44.065799999999996,3653,0
12478.0,4,1,680.99,18.91638888888889,236,2
12479.0,12,1,527.2,17.006451612903227,385,2
12480.0,29,4,3281.63,21.309285714285714,1707,2
12481.0,23,10,5596.32,25.789493087557602,3304,0
12483.0,18,8,2484.98,33.133066666666664,1110,0
12484.0,33,6,4541.72,13.126358381502891,2191,0
12488.0,10,3,1298.66,23.612000000000002,529,2
12489.0,337,1,334.93,22.328666666666667,105,3
12490.0,6,10,5417.93,22.114,3064,0
12491.0,39,1,460.40000000000003,17.70769230769231,260,3
12492.0,64,2,263.21000000000004,13.160500000000003,192,3
12493.0,166,2,433.74,19.715454545454545,207,3
12494.0,16,7,1246.1000000000001,16.183116883116885,707,2
12497.0,82,1,1043.1,74.50714285714285,1236,1
